Start,End,Time in bed,Heart rate,Activity (steps),Sleep score,睡眠质量（好，一般，不好）
2015/10/28--22:28:00,2015/10/29--6:20:00,7:51,92,10106,83%,
2015/10/29--22:30:00,2015/10/30--6:10:00,7:40,74,19935,81%,
2015/10/31--1:01:00,2015/10/31--7:50:00,6:48,94,19361,50%,
2015/11/2--22:00:00,2015/11/3--6:10:00,8:09,79,4488,83%,
2015/11/3--22:46:00,2015/11/4--6:09:00,7:23,66,15922,75%,
2015/11/4--22:49:00,2015/11/5--6:00:00,7:11,79,7248,65%,
2015/11/5--21:36:00,2015/11/6--5:29:00,7:52,90,632,77%,
2015/11/7--0:19:00,2015/11/7--8:13:00,7:54,95,10194,93%,
2015/11/8--23:28:00,2015/11/9--6:20:00,6:52,78,970,69%,
2015/11/9--21:59:00,2015/11/10--5:41:00,7:41,85,638,88%,
2015/11/10--22:56:00,2015/11/11--6:28:00,7:32,62,1722,83%,
2015/11/11--22:57:00,2015/11/12--6:20:00,7:23,78,14355,72%,
2015/11/13--22:59:00,2015/11/14--7:46:00,8:46,79,19607,96%,
2015/11/15--22:17:00,2015/11/16--6:30:00,8:13,67,13806,72%,
2015/11/18--22:07:00,2015/11/19--5:30:00,7:23,64,18718,80%,
2015/11/19--23:10:00,2015/11/20--6:00:00,6:50,99,16988,73%,
2015/11/22--21:57:00,2015/11/23--5:30:00,7:33,63,6557,83%,
2015/11/23--22:15:00,2015/11/24--5:00:00,6:44,77,17103,74%,
2015/11/24--22:33:00,2015/11/25--6:30:00,7:57,90,4280,87%,
2015/11/25--23:26:00,2015/11/26--6:20:00,6:54,74,14872,69%,
2015/11/26--22:25:00,2015/11/27--6:20:00,7:55,70,16732,81%,
2015/11/28--1:20:00,2015/11/28--7:46:00,6:25,97,15049,58%,
2015/11/29--22:20:00,2015/11/30--6:20:00,7:59,78,10374,68%,
2015/11/30--21:23:00,2015/12/1--6:19:00,8:55,67,3907,64%,
2015/12/1--23:03:00,2015/12/2--6:20:00,7:17,91,8075,84%,
2015/12/2--22:19:00,2015/12/3--5:11:00,6:51,79,16418,75%,
2015/12/3--22:51:00,2015/12/4--5:01:00,6:09,96,5643,70%,
2015/12/6--22:10:00,2015/12/7--5:31:00,7:20,98,16036,86%,
2015/12/7--21:20:00,2015/12/8--5:00:00,7:40,87,12481,86%,
2015/12/8--22:17:00,2015/12/9--5:45:00,7:28,88,4427,79%,
2015/12/9--21:57:00,2015/12/10--6:10:00,8:13,94,3787,93%,
2015/12/13--0:08:00,2015/12/13--8:23:00,8:14,63,5330,77%,
2015/12/13--22:07:00,2015/12/14--6:09:00,8:02,73,19908,80%,
2015/12/15--22:32:00,2015/12/16--6:10:00,7:37,79,18460,75%,
2015/12/16--22:20:00,2015/12/17--5:40:00,7:20,96,3369,84%,
